# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 113867934337.500000  -0.008820 0.007683 68661  0.000010 0.001973 -0.024297 0.202862  0.675560 -0.056629   67939 0.000020 0.001888 -0.000020
2 113874724185.000000  -0.006968 0.007924 68639  0.000006 0.001881 0.048343 -0.081401  0.444353 -0.037248   68278 0.000000 0.001840 0.000010
3 113881514032.500000  -0.007032 0.006960 68638  0.000023 0.001902 0.032059 -0.040357  1.560922 -0.130845   68225 0.000025 0.001856 -0.000018
4 113888303880.000000  -0.008437 0.008855 68639  -0.000005 0.001880 0.009358 0.264136  -0.321026 0.026910   67949 -0.000009 0.001796 0.000009
5 113895093727.500000  -0.006472 0.006026 68639  0.000035 0.001809 -0.051392 -0.174721  2.416726 -0.202583   68381 0.000041 0.001782 0.000062
6 113901883575.000000  -0.006166 0.008118 68641  -0.000013 0.001789 0.007067 -0.027617  -0.904921 0.075855   68236 -0.000021 0.001746 0.000003
7 113908673422.500000  -0.007327 0.007958 68641  0.000019 0.001941 -0.088465 -0.036693  1.303160 -0.109238   68207 0.000033 0.001888 0.000040
8 113915463270.000000  -0.006492 0.006454 68644  -0.000007 0.001794 -0.040387 0.090308  -0.455598 0.038191   67990 -0.000003 0.001724 0.000014
9 113922253117.500000  -0.007710 0.006796 68646  -0.000000 0.001933 -0.032533 -0.153206  -0.026349 0.002209   68338 0.000002 0.001898 0.000014
10 113929042965.000000  -0.007363 0.008067 68647  0.000016 0.001859 0.051828 0.014489  1.084124 -0.090877   68174 0.000011 0.001806 -0.000008
11 113935832812.500000  -0.006992 0.006953 68644  0.000028 0.001890 -0.048353 -0.059081  1.932780 -0.162016   68195 0.000037 0.001841 0.000051
12 113942622660.000000  -0.007947 0.007543 68645  0.000006 0.001904 -0.062995 -0.028222  0.404324 -0.033893   68253 0.000017 0.001855 0.000041
13 113949412507.500000  -0.007478 0.006274 68650  0.000022 0.001862 -0.074527 0.001785  1.532904 -0.128496   68107 0.000040 0.001803 0.000043
14 113956202355.000000  -0.007034 0.006873 68653  0.000016 0.001935 -0.005182 -0.007755  1.112005 -0.093214   68155 0.000017 0.001881 0.000012
15 113962992202.500000  -0.006960 0.008082 68653  0.000002 0.001902 -0.001764 0.098456  0.168351 -0.014112   68036 0.000002 0.001832 0.000004
16 113969782050.000000  -0.006792 0.007980 68651  0.000003 0.001891 0.011856 -0.031379  0.181996 -0.015256   68239 0.000001 0.001843 0.000007
17 113976571897.500000  -0.006955 0.007360 68653  -0.000016 0.001958 0.112636 -0.048817  -1.110651 0.093101   68214 -0.000034 0.001907 -0.000045
18 113983361745.000000  -0.007858 0.007410 68652  -0.000005 0.001898 0.090744 0.161279  -0.346873 0.029077   67892 -0.000017 0.001813 -0.000058
19 113990151592.500000  -0.006583 0.006831 68651  0.000013 0.001937 -0.036632 -0.104517  0.894665 -0.074996   68277 0.000019 0.001896 0.000032
20 113996941440.000000  -0.006606 0.007612 68655  -0.000006 0.001942 0.006171 -0.241440  -0.401808 0.033682   68457 -0.000009 0.001919 0.000008
21 114003731287.500000  -0.009288 0.007440 68656  -0.000016 0.002031 -0.093499 -0.009508  -1.096198 0.091889   68209 -0.000001 0.001974 0.000010
22 114010521135.000000  -0.006087 0.007308 68659  0.000013 0.001851 0.082814 -0.096243  0.911717 -0.076425   68260 -0.000002 0.001810 -0.000018
23 114017310982.500000  -0.006610 0.006311 68659  0.000006 0.001818 -0.016663 -0.019624  0.404097 -0.033874   68140 0.000009 0.001766 0.000001
24 114024100830.000000  -0.008244 0.007653 68659  -0.000016 0.001966 -0.022535 0.165620  -1.130230 0.094742   67964 -0.000014 0.001883 -0.000009
25 114030890677.500000  -0.008086 0.006830 68659  0.000013 0.001993 -0.042545 0.090154  0.905523 -0.075906   68042 0.000021 0.001918 0.000020
26 114037680525.000000  -0.007027 0.008644 68659  -0.000007 0.001960 0.054518 0.030167  -0.459453 0.038514   68197 -0.000014 0.001904 -0.000024
27 114044470372.500000  -0.007130 0.007026 68658  -0.000006 0.001956 -0.057662 -0.027170  -0.426122 0.035720   68170 -0.000002 0.001900 0.000025
28 114051260220.000000  -0.007728 0.007159 68660  -0.000026 0.001959 -0.096122 -0.010595  -1.786994 0.149795   68186 -0.000012 0.001903 0.000022
29 114058050067.500000  -0.007320 0.007150 68663  -0.000012 0.001995 0.010344 -0.022586  -0.854450 0.071625   68122 -0.000014 0.001933 -0.000018
30 114064839915.000000  -0.009126 0.008507 68663  0.000034 0.002013 -0.015923 0.112518  2.335572 -0.195780   68139 0.000037 0.001944 0.000041
31 114071629762.500000  -0.006427 0.006851 68660  -0.000009 0.001881 0.026288 -0.052991  -0.646518 0.054195   68196 -0.000018 0.001830 -0.000001
32 114078419610.000000  -0.007027 0.007626 68660  0.000014 0.001992 0.029720 0.008480  0.978326 -0.082008   68114 0.000015 0.001928 -0.000006
