# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 97579843885.500000  -0.003123 0.003125 76693  -0.000002 0.000753 -0.021270 0.075499  -0.144338 0.011822   76023 -0.000001 0.000726 0.000003
2 97586478180.000000  -0.002507 0.002742 76697  0.000002 0.000634 -0.014052 0.002613  0.122055 -0.009997   76167 0.000002 0.000615 0.000005
3 97593112474.500000  -0.002599 0.002768 76690  0.000002 0.000671 -0.012306 -0.002769  0.131544 -0.010774   76116 0.000004 0.000651 0.000000
4 97599746769.000000  -0.002575 0.002611 76693  0.000001 0.000627 -0.000473 0.003123  0.075508 -0.006184   76136 0.000000 0.000608 0.000004
5 97606381063.500000  -0.002575 0.002630 76689  0.000002 0.000643 0.023934 -0.035091  0.123971 -0.010154   76181 0.000001 0.000626 -0.000001
6 97613015358.000000  -0.002433 0.002588 76691  0.000002 0.000621 0.024509 0.047975  0.148708 -0.012180   76075 0.000001 0.000601 -0.000001
7 97619649652.500000  -0.002469 0.002686 76691  -0.000001 0.000606 -0.001694 0.057988  -0.110914 0.009084   76094 -0.000002 0.000586 0.000001
8 97626283947.000000  -0.002660 0.002506 76685  0.000001 0.000631 0.009020 0.008381  0.051626 -0.004228   76130 0.000000 0.000612 -0.000000
9 97632918241.500000  -0.002709 0.002507 76692  0.000000 0.000612 -0.002182 0.001844  0.021996 -0.001802   76167 -0.000000 0.000595 0.000003
10 97639552536.000000  -0.002734 0.002719 76683  0.000001 0.000646 -0.003323 -0.049420  0.077623 -0.006358   76240 0.000002 0.000630 0.000002
11 97646186830.500000  -0.002476 0.002576 76691  -0.000000 0.000620 0.016605 0.008499  -0.007833 0.000642   76149 -0.000001 0.000602 -0.000001
12 97652821125.000000  -0.002294 0.004701 76688  0.000003 0.000621 0.041570 0.220246  0.217369 -0.017804   76106 0.000001 0.000600 0.000002
13 97659455419.500000  -0.002653 0.003251 76671  0.000005 0.000649 -0.009076 0.033927  0.376084 -0.030803   76109 0.000006 0.000628 0.000007
14 97666089714.000000  -0.002668 0.002649 76687  0.000001 0.000614 0.020630 0.023984  0.085496 -0.007003   76126 0.000001 0.000595 -0.000005
15 97672724008.500000  -0.002450 0.002533 76674  -0.000003 0.000638 0.010977 -0.037417  -0.240837 0.019726   76162 -0.000004 0.000621 -0.000007
16 97679358303.000000  -0.002581 0.002485 76689  -0.000000 0.000609 -0.048960 0.024331  -0.028077 0.002300   76129 0.000002 0.000591 0.000004
17 97685992597.500000  -0.002671 0.002647 76679  -0.000000 0.000627 0.000311 0.068410  -0.025932 0.002124   76013 -0.000000 0.000604 0.000001
